Date,AAPL,FLS,GME,HRL,HSY,MSFT,SPG,SUN,TER,X
2016-01-04,24.220577239990234,37.36347579956055,21.848798751831055,34.59198760986328,76.19438171386719,49.48871612548828,144.19993591308594,20.32052230834961,19.4444522857666,7.735527515411377
2016-01-05,23.61362648010254,36.571922302246094,22.203821182250977,35.29514694213867,75.91727447509766,49.71449661254883,147.07135009765625,20.294857025146484,19.606969833374023,7.811550140380859
2016-01-06,23.15151596069336,35.824825286865234,21.895109176635742,35.414546966552734,75.96923065185547,48.811424255371094,146.7115020751953,19.673799514770508,19.157665252685547,7.535961627960205
2016-01-07,22.174419403076172,34.9354133605957,21.956850051879883,34.7733039855957,74.21134185791016,47.1136360168457,143.61520385742188,19.13998794555664,18.650997161865234,6.937265872955322
2016-01-08,22.291669845581055,33.82368087768555,21.895109176635742,34.56986999511719,73.53590393066406,47.25812911987305,139.52174377441406,18.8320255279541,18.268604278564453,6.690185070037842
2016-01-11,22.65262222290039,33.63690948486328,22.67459487915039,34.512386322021484,72.95572662353516,47.23102569580078,139.9790802001953,17.9748592376709,18.373762130737305,6.481117248535156
2016-01-12,22.981382369995117,33.814796447753906,21.51694107055664,35.1624755859375,73.61384582519531,47.66450119018555,139.10186767578125,17.749019622802734,18.574520111083984,6.547638893127441
2016-01-13,22.390525817871094,33.26335525512695,20.791475296020508,34.68927764892578,72.39287567138672,46.63500213623047,138.1497344970703,17.035564422607422,18.115650177001953,6.405091762542725
2016-01-14,22.880226135253906,33.06769561767578,19.741872787475586,34.995548248291016,73.23283386230469,47.962520599365234,139.19187927246094,17.69769287109375,18.555397033691406,6.937265872955322
2016-01-15,22.330751419067383,32.027103424072266,19.788171768188477,33.7881965637207,72.15039825439453,46.047996520996094,138.0747833251953,17.913265228271484,18.144330978393555,6.547638893127441
2016-01-19,22.22269630432129,31.48457145690918,19.68784523010254,34.134422302246094,73.2674789428711,45.6596794128418,139.74664306640625,16.501766204833984,18.345083236694336,6.851737976074219
2016-01-20,22.252586364746094,31.600191116333008,19.44087791442871,33.53962326049805,73.59652709960938,45.86738967895508,135.4282989501953,15.023530960083008,18.555397033691406,6.747203826904297
2016-01-21,22.139928817749023,31.86701202392578,19.518056869506836,33.06023406982422,73.31076049804688,45.58741760253906,136.9727020263672,14.469196319580078,18.4980411529541,6.956271171569824
2016-01-22,23.317047119140625,32.92539978027344,19.81132698059082,33.72605514526367,73.82168579101562,47.22199249267578,140.4364013671875,15.459816932678223,18.909103393554688,6.880247592926025
2016-01-25,22.861831665039062,31.947067260742188,19.34054946899414,33.52186965942383,72.54008483886719,46.77045822143555,138.8094940185547,15.593269348144531,18.584074020385742,6.57614803314209
2016-01-26,22.988283157348633,33.227787017822266,20.112319946289062,34.10334396362305,73.67446899414062,47.1136360168457,142.55059814453125,16.758398056030273,18.947343826293945,7.383912563323975
2016-01-27,21.477800369262695,32.92539978027344,20.18177604675293,34.005699157714844,73.11161041259766,46.25571060180664,139.47674560546875,17.358928680419922,19.062063217163086,6.3385701179504395
2016-01-28,21.6318359375,33.370094299316406,19.842195510864258,34.7691764831543,75.33706665039062,47.01428985595703,140.0390167236328,17.523178100585938,18.153888702392578,6.357576370239258
2016-01-29,22.379032135009766,34.36621856689453,20.228086471557617,35.69245147705078,76.29827880859375,49.7506217956543,139.6566619873047,17.456451416015625,18.574520111083984,6.652171611785889
2016-02-01,22.16982078552246,34.12607192993164,20.691146850585938,36.40708541870117,77.3807144165039,49.407447814941406,140.89369201660156,17.179285049438477,18.612760543823242,6.8992533683776855
2016-02-02,21.721508026123047,32.95207977294922,20.004274368286133,36.100826263427734,77.5019302368164,47.863182067871094,139.52923583984375,16.78406524658203,17.972257614135742,6.737700462341309
2016-02-03,22.151426315307617,34.1794319152832,20.197214126586914,35.47494888305664,76.87846374511719,47.10459518432617,141.17111206054688,15.963774681091309,17.723703384399414,7.155837059020996
2016-02-04,22.329418182373047,35.851505279541016,20.845497131347656,34.81356430053711,76.7572250366211,46.96010208129883,140.63134765625,16.4583683013916,17.867097854614258,7.830556392669678
2016-02-05,21.733030319213867,36.216163635253906,20.706579208374023,35.039947509765625,75.94322204589844,45.298439025878906,137.9323272705078,15.327119827270508,17.542068481445312,7.5454630851745605
2016-02-08,21.961881637573242,35.92265701293945,21.524658203125,36.13188552856445,77.94357299804688,44.62113952636719,136.80776977539062,12.869938850402832,17.15968132019043,7.383912563323975
