Date,AAPL,FLS,GME,HRL,HSY,MSFT,SPG,SPY,TER,X
2016-01-04,25.65250015258789,41.400001525878906,27.040000915527344,39.125,88.16000366210938,54.31999969482422,192.30999755859375,200.49000549316406,20.459999084472656,7.849999904632568
2016-01-05,26.4375,42.029998779296875,28.59000015258789,39.275001525878906,88.4800033569336,54.93000030517578,193.0,201.39999389648438,20.34000015258789,8.140000343322754
2016-01-06,25.139999389648438,40.29999923706055,28.229999542236328,39.505001068115234,86.70999908447266,54.31999969482422,194.69000244140625,198.33999633789062,20.1299991607666,8.050000190734863
2016-01-07,24.670000076293945,39.650001525878906,28.1200008392334,39.55500030517578,86.70999908447266,52.70000076293945,192.9199981689453,195.3300018310547,19.479999542236328,7.699999809265137
2016-01-08,24.637500762939453,38.970001220703125,28.700000762939453,39.474998474121094,85.9800033569336,52.369998931884766,191.75,195.19000244140625,19.579999923706055,7.5
2016-01-11,24.74250030517578,38.119998931884766,28.329999923706055,39.224998474121094,84.29000091552734,52.5099983215332,187.22000122070312,193.00999450683594,19.290000915527344,7.119999885559082
2016-01-12,25.137500762939453,38.27000045776367,28.950000762939453,39.380001068115234,84.98999786376953,52.7599983215332,187.4600067138672,193.82000732421875,19.479999542236328,6.980000019073486
2016-01-13,25.079999923706055,38.25,27.709999084472656,39.814998626708984,85.23999786376953,53.79999923706055,185.7899932861328,194.4499969482422,19.440000534057617,7.019999980926514
2016-01-14,24.489999771118164,37.59000015258789,27.420000076293945,39.23500061035156,84.08999633789062,52.0,184.7100067138672,189.5500030517578,19.06999969482422,6.829999923706055
2016-01-15,24.049999237060547,36.04999923706055,25.059999465942383,38.94499969482422,83.19999694824219,51.310001373291016,182.33999633789062,186.77000427246094,18.549999237060547,6.909999847412109
2016-01-19,24.602500915527344,36.060001373291016,25.959999084472656,38.60499954223633,83.66999816894531,51.47999954223633,186.0,189.9600067138672,19.280000686645508,7.179999828338623
2016-01-20,23.774999618530273,34.61000061035156,25.209999084472656,38.11000061035156,83.87999725341797,49.97999954223633,184.82000732421875,185.02999877929688,19.270000457763672,6.929999828338623
2016-01-21,24.264999389648438,35.38999938964844,25.190000534057617,37.900001525878906,84.95999908447266,51.0,182.75999450683594,186.2100067138672,19.5,7.190000057220459
2016-01-22,24.657499313354492,36.75,25.729999542236328,37.6349983215332,85.2300033569336,51.40999984741211,185.10000610351562,189.77999877929688,19.690000534057617,7.610000133514404
2016-01-25,25.3799991607666,36.79999923706055,25.600000381469727,38.0,84.91000366210938,51.939998626708984,187.3699951171875,189.9199981689453,19.75,7.349999904632568
2016-01-26,24.982500076293945,36.630001068115234,25.350000381469727,37.83000183105469,84.12999725341797,51.790000915527344,185.6199951171875,188.4199981689453,19.5,6.920000076293945
2016-01-27,24.010000228881836,37.310001373291016,26.239999771118164,38.415000915527344,85.16000366210938,52.0099983215332,189.5,189.5800018310547,19.780000686645508,7.0
2016-01-28,23.447500228881836,37.779998779296875,26.489999771118164,38.45500183105469,85.72000122070312,51.86000061035156,187.11000061035156,189.9600067138672,21.079999923706055,6.619999885559082
2016-01-29,23.697500228881836,37.7400016784668,25.760000228881836,39.41999816894531,87.25,54.72999954223633,189.22999572753906,190.02000427246094,19.1299991607666,6.630000114440918
2016-02-01,24.11750030517578,38.04999923706055,26.200000762939453,40.290000915527344,88.19000244140625,54.880001068115234,185.5800018310547,192.52999877929688,19.25,6.710000038146973
2016-02-02,23.854999542236328,35.25,26.6299991607666,40.935001373291016,88.47000122070312,54.16999816894531,188.08999633789062,191.9600067138672,19.200000762939453,7.099999904632568
2016-02-03,23.75,37.47999954223633,26.110000610351562,41.27000045776367,89.43000030517578,53.25,187.2100067138672,191.41000366210938,18.719999313354492,7.400000095367432
2016-02-04,23.96500015258789,38.4900016784668,26.059999465942383,39.900001525878906,88.72000122070312,52.099998474121094,187.9600067138672,190.7100067138672,18.549999237060547,7.800000190734863
2016-02-05,24.1299991607666,40.099998474121094,27.010000228881836,39.349998474121094,88.88999938964844,51.939998626708984,186.22999572753906,190.99000549316406,18.559999465942383,8.180000305175781
2016-02-08,23.282499313354492,40.130001068115234,26.549999237060547,39.44499969482422,87.44999694824219,49.54999923706055,184.5500030517578,185.77000427246094,18.06999969482422,7.699999809265137
2016-02-09,23.572500228881836,39.61000061035156,27.649999618530273,40.44499969482422,89.05000305175781,49.02000045776367,179.9499969482422,183.36000061035156,17.770000457763672,7.46999979019165
2016-02-10,23.979999542236328,39.439998626708984,27.200000762939453,41.40999984741211,89.81999969482422,49.88999938964844,177.80999755859375,186.41000366210938,17.84000015258789,7.360000133514404
2016-02-11,23.447500228881836,38.400001525878906,26.450000762939453,41.43000030517578,89.0199966430664,48.68000030517578,178.52999877929688,182.33999633789062,17.639999389648438,6.849999904632568
2016-02-12,23.547500610351562,40.36000061035156,26.770000457763672,41.810001373291016,88.98999786376953,50.25,183.4199981689453,184.9600067138672,17.700000762939453,7.079999923706055
2016-02-16,23.7549991607666,41.380001068115234,27.329999923706055,43.459999084472656,90.0,50.900001525878906,185.64999389648438,188.77000427246094,17.889999389648438,7.5
2016-02-17,24.167499542236328,42.20000076293945,28.219999313354492,44.459999084472656,90.58999633789062,51.4900016784668,187.97000122070312,191.16000366210938,18.3700008392334,7.599999904632568
2016-02-18,24.709999084472656,43.220001220703125,28.799999237060547,43.77000045776367,91.41000366210938,52.33000183105469,186.52000427246094,193.1999969482422,18.81999969482422,8.59000015258789
